route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
63991,,11,11TH AVENUE,,3,,3333CC,FFFFFF
63992,,17,1700 SOUTH,,3,,3333CC,FFFFFF
63993,,2,200 SOUTH,,3,,3333CC,FFFFFF
63994,,200,STATE STREET NORTH,,3,,3333CC,FFFFFF
63995,,201,STATE STREET SOUTH,,3,,3333CC,FFFFFF
63996,,205,500 EAST,,3,,3333CC,FFFFFF
63997,,209,900 EAST,,3,,3333CC,FFFFFF
63998,,21,2100 SOUTH / 2100 EAST,,3,,3333CC,FFFFFF
63999,,213,1300 EAST / 1100 EAST,,3,,3333CC,FFFFFF
64000,,217,REDWOOD ROAD,,3,,3333CC,FFFFFF
64001,,218,SANDY/SOUTH JORDAN,,3,,3333CC,FFFFFF
64002,,220,HIGHLAND DRIVE / 1300 EAST,,3,,3333CC,FFFFFF
64003,,223,2300 EAST/ HOLLADAY BLVD,,3,,3333CC,FFFFFF
64004,,227,2700 WEST,,3,,3333CC,FFFFFF
64005,,228,FOOTHILL DR / 2700 EAST,,3,,3333CC,FFFFFF
64006,,232,3200 WEST,,3,,3333CC,FFFFFF
64830,,240,4000 WEST/ DIXIE VALLEY,,3,,3333CC,FFFFFF
64008,,248,4800 WEST,,3,,3333CC,FFFFFF
64009,,2X,200 SOUTH EXPRESS,,3,,3333CC,FFFFFF
64010,,3,3RD AVENUE,,3,,3333CC,FFFFFF
64011,,307,COTTONWOOD HEIGHTS FAST BUS,,3,,3333CC,FFFFFF
64012,,313,SOUTH VALLEY / U OF U FAST BUS,,3,,3333CC,FFFFFF
64013,,320,HIGHLAND DRIVE FAST BUS,,3,,3333CC,FFFFFF
64831,,33,3300 SOUTH,,3,,3333CC,FFFFFF
64832,,35,3500 SOUTH,,3,,3333CC,FFFFFF
64016,,354,SANDY / U OF U FAST BUS,,3,,3333CC,FFFFFF
64017,,35M,MAX - 3500 SOUTH,,3,,3333CC,FFFFFF
64018,,39,3900 SOUTH,,3,,3333CC,FFFFFF
64019,,41,4100 SOUTH,,3,,3333CC,FFFFFF
64020,,45,4500 SOUTH,,3,,3333CC,FFFFFF
64021,,451,TOOELE EXPRESS,,3,,3333CC,FFFFFF
64022,,453,TOOELE - SALT LAKE  VIA AIRPORT,,3,,3333CC,FFFFFF
64023,,454,GRANTSVILLE/SALT LAKE,,3,,3333CC,FFFFFF
64024,,455,U OF U/DAVIS COUNTY/WSU,,3,,3333CC,FFFFFF
64025,,456,OGDEN/UNISYS/ ROCKY MTN. EXPRESS,,3,,3333CC,FFFFFF
