stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
870,135009,CONSTITUTION BLVD @ 3700 S,S CONSTITUTION BLVD,40.691967,-111.958133,,,0,
887,135026,CONSTITUTION BLVD @ 3601 S,S CONSTITUTION BLVD,40.69391,-111.957789,,,0,
1022,118161,NORTH MEDICAL DR @ 50 N,UNNAMED ST,40.772535,-111.837594,,,0,
1024,117229,REDWOOD RD @ 701 N,N REDWOOD RD,40.784947,-111.939549,,,0,
1029,812002,STATE ST @ 101 S,S STATE ST,40.295471,-111.694104,,,0,
1038,812011,STATE ST @ 830 N,N STATE ST,40.313278,-111.701888,,,0,
1040,812013,STATE ST @ 1090 N,N STATE ST,40.317158,-111.703591,,,0,
1041,812014,STATE ST @ 1220 N,N STATE ST,40.319878,-111.704794,,,0,
1045,812018,STATE ST @ 1960 N,N STATE ST,40.332719,-111.712453,,,0,
1054,812027,STATE ST @ 1975 N,N STATE ST,40.333298,-111.713371,,,0,
1059,812032,STATE ST @ 1185 N,N STATE ST,40.319009,-111.704795,,,0,
1066,812039,STATE ST @ 497 N,N STATE ST,40.305817,-111.698999,,,0,
1067,812040,STATE ST @ 381 N,N STATE ST,40.303699,-111.698101,,,0,
1071,812044,STATE ST @ 20 S,S STATE ST,40.296691,-111.695037,,,0,
1253,125371,900 W @ 1289 S,S 900 W,40.741828,-111.916738,,,0,
1711,135285,BRUIN BLVD @ 1885 W,W BRUIN BLVD,40.674518,-111.942491,,,0,
1725,138045,3900 S @ 2710 E,E 3900 S,40.687021,-111.814588,,,0,
1742,138062,3900 S @ 2647 E,E 3900 S,40.687137,-111.815687,,,0,
1760,138081,2300 E @ 4510 S,S 2300 E,40.673866,-111.824613,,,0,
1775,138097,MURRAY HOLLADAY RD @ 1868 E,E MURRAY HOLLADAY RD,40.665783,-111.838718,,,0,
1776,138098,MURRAY HOLLADAY RD @ 1910 E,E MURRAY HOLLADAY RD,40.665779,-111.837373,,,0,
1819,138140,3300 S @ 3301 E,E 3300 S,40.699971,-111.800396,,,0,
1844,138164,3300 S @ 2035 E,E 3300 S,40.699958,-111.832888,,,0,
1849,138169,3300 S @ 2010 E,E 3300 S,40.699791,-111.833697,,,0,
1852,138172,3300 S @ 2290 E,E 3300 S,40.699803,-111.825038,,,0,
1885,138205,2000 E @ 2710 S,S 2000 E,40.712348,-111.834154,,,0,
1926,154038,STATE ST @ 6300 S,S STATE ST,40.63481,-111.889144,,,0,
1927,154039,STATE ST @ 6200 S,S STATE ST,40.636249,-111.889072,,,0,
1958,154071,900 E @ 5640 S,S 900 E,40.649194,-111.866073,,,0,
1998,154113,1300 E @ 5585 S,S 1300 E,40.649953,-111.854415,,,0,
2024,154139,1300 E @ 6980 S,S 1300 E,40.626942,-111.854874,,,0,
2144,138272,WASATCH BLVD @ 4470 S,S WASATCH BLVD,40.674781,-111.801245,,,0,
2149,S156001,BIG COTTONWOOD CANYON RD @ 3875 E,E BIG COTTONWOOD CANYON RD,40.619451,-111.786841,,,0,
2202,126491,SOUTH CAMPUS DR @ 1530 E,E SOUTH CAMPUS DR,40.760138,-111.846654,,,0,
2222,154171,STATE ST @ 5590 S,S STATE ST,40.649543,-111.888732,,,0,
2228,154177,STATE ST @ 6206 S,S STATE ST,40.635734,-111.889519,,,0,
2249,172192,9000 S @ 185 W,W 9000 S,40.587957,-111.895461,,,0,
2333,127221,2100 S @ 1905 E,E 2100 S,40.725572,-111.836211,,,0,
2426,126498,GUARDSMAN WAY @ 510 S,S GUARDSMAN WAY,40.757942,-111.845493,,,0,
2440,817249,500 W @ 1145 N,N 500 W,40.250005,-111.667588,,,0,
2450,817259,STATE ST @ 1248 N,N STATE ST,40.251103,-111.667531,,,0,
2499,817308,UNIVERSITY AVE @ 1020 N,N UNIVERSITY AVE,40.246981,-111.658493,,,0,
2641,816003,CAMPUS DR @ 791 W,W CAMPUS DR,40.275892,-111.712444,,,0,
2682,136156,700 W @ 3575 S,S 700 W,40.692436,-111.911123,,,0,
2701,136175,700 W @ 3600 S,S 700 W,40.692217,-111.911311,,,0,
2725,127042,900 S @ 1898 E,E 900 S,40.749752,-111.836757,,,0,
2759,127077,1900 E @ 901 S,S 1900 E,40.749641,-111.836469,,,0,
2773,118086,13TH AVE @ 536 E,E 13TH AVE,40.784094,-111.87321,,,0,
2774,118087,13TH AVE @ 598 E,E 13TH AVE,40.784091,-111.871686,,,0,
2778,118091,11TH AVE @ 756 E,E 11TH AVE,40.781825,-111.866673,,,0,
2780,118093,11TH AVE @ 1248 E,E 11TH AVE,40.778209,-111.85236,,,0,
2786,118099,VIRGINIA ST @ 148 N,N VIRGINIA ST,40.772693,-111.852201,,,0,
